*IDN? Returned 31 bytes: CMT, C1209, 00000001, 24.3.4/1


           Frequency                 Real                 Imag
       100000.000000             1.000593            -0.001881
     45099500.000000             0.998600            -0.054094
     90099000.000000             0.994406            -0.106767
    135098500.000000             0.987521            -0.159197
    180098000.000000             0.977798            -0.211158
    225097500.000000             0.965425            -0.262374
    270097000.000000             0.950597            -0.312800
    315096500.000000             0.933071            -0.362142
    360096000.000000             0.913149            -0.410423
    405095500.000000             0.890604            -0.457630
    450095000.000000             0.865507            -0.503754
    495094500.000000             0.837877            -0.548931
    540094000.000000             0.807358            -0.593086
    585093500.000000             0.774346            -0.636026
    630093000.000000             0.738965            -0.677371
    675092500.000000             0.701457            -0.716700
    720092000.000000             0.661641            -0.753969
    765091500.000000             0.619675            -0.789304
    810091000.000000             0.575017            -0.822437
    855090500.000000             0.528341            -0.853439
    900090000.000000             0.479724            -0.881936
    945089500.000000             0.429318            -0.907778
    990089000.000000             0.377577            -0.930822
   1035088500.000000             0.324351            -0.950961
   1080088000.000000             0.269742            -0.968237
   1125087500.000000             0.214120            -0.982440
   1170087000.000000             0.157664            -0.993260
   1215086500.000000             0.100723            -1.000854
   1260086000.000000             0.043685            -1.005203
   1305085500.000000            -0.013960            -1.006302
   1350085000.000000            -0.071986            -1.003966
   1395084500.000000            -0.130622            -0.997994
   1440084000.000000            -0.189631            -0.988557
   1485083500.000000            -0.248725            -0.975534
   1530083000.000000            -0.306810            -0.958926
   1575082500.000000            -0.363916            -0.938894
   1620082000.000000            -0.419895            -0.915264
   1665081500.000000            -0.474902            -0.887907
   1710081000.000000            -0.528934            -0.856553
   1755080500.000000            -0.581732            -0.821453
   1800080000.000000            -0.632854            -0.782586
   1845079500.000000            -0.681733            -0.740185
   1890079000.000000            -0.727879            -0.694179
   1935078500.000000            -0.771282            -0.644762
   1980078000.000000            -0.811829            -0.591953
   2025077500.000000            -0.849459            -0.536003
   2070077000.000000            -0.883586            -0.476991
   2115076500.000000            -0.913904            -0.415029
   2160076000.000000            -0.939739            -0.350262
   2205075500.000000            -0.961216            -0.283049
   2250075000.000000            -0.978206            -0.213707
   2295074500.000000            -0.990481            -0.142059
