*IDN? Returned 31 bytes: CMT, C1209, 00000001, 24.3.4/1


           Frequency                 Real                 Imag                 Loss
       100000.000000             1.000596            -0.001885            -0.005188
     45099500.000000             0.998579            -0.054122            -0.000389
     90099000.000000             0.994385            -0.106777            -0.000880
    135098500.000000             0.987549            -0.159180            -0.002564
    180098000.000000             0.977782            -0.211164            -0.002813
    225097500.000000             0.965433            -0.262345            -0.003844
    270097000.000000             0.950639            -0.312765            -0.006667
    315096500.000000             0.933111            -0.362111            -0.007899
    360096000.000000             0.913175            -0.410419            -0.010116
    405095500.000000             0.890584            -0.457634            -0.011143
    450095000.000000             0.865503            -0.503689            -0.012134
    495094500.000000             0.837850            -0.548963            -0.014537
    540094000.000000             0.807389            -0.593081            -0.015703
    585093500.000000             0.774322            -0.636039            -0.017857
    630093000.000000             0.738946            -0.677375            -0.021133
    675092500.000000             0.701417            -0.716696            -0.024418
    720092000.000000             0.661685            -0.753975            -0.027295
    765091500.000000             0.619657            -0.789294            -0.030119
    810091000.000000             0.575051            -0.822426            -0.030590
    855090500.000000             0.528363            -0.853443            -0.032594
    900090000.000000             0.479727            -0.881938            -0.034398
    945089500.000000             0.429290            -0.907748            -0.035878
    990089000.000000             0.377591            -0.930848            -0.039136
   1035088500.000000             0.324347            -0.950954            -0.041122
   1080088000.000000             0.269774            -0.968280            -0.044689
   1125087500.000000             0.214095            -0.982442            -0.047633
   1170087000.000000             0.157624            -0.993265            -0.049318
   1215086500.000000             0.100732            -1.000890            -0.051499
   1260086000.000000             0.043678            -1.005210            -0.053330
   1305085500.000000            -0.013922            -1.006322            -0.055572
   1350085000.000000            -0.071984            -1.004004            -0.056977
   1395084500.000000            -0.130652            -0.997941            -0.055903
   1440084000.000000            -0.189627            -0.988533            -0.056759
   1485083500.000000            -0.248720            -0.975509            -0.058148
   1530083000.000000            -0.306795            -0.958927            -0.058936
   1575082500.000000            -0.363905            -0.938920            -0.060365
   1620082000.000000            -0.419864            -0.915297            -0.060616
   1665081500.000000            -0.474928            -0.887914            -0.060159
   1710081000.000000            -0.528930            -0.856546            -0.057972
   1755080500.000000            -0.581720            -0.821322            -0.055957
   1800080000.000000            -0.632876            -0.782623            -0.056222
   1845079500.000000            -0.681726            -0.740194            -0.054540
   1890079000.000000            -0.727895            -0.694166            -0.050508
   1935078500.000000            -0.771294            -0.644767            -0.045878
   1980078000.000000            -0.811849            -0.591971            -0.041186
   2025077500.000000            -0.849458            -0.536001            -0.038381
   2070077000.000000            -0.883600            -0.476997            -0.035791
   2115076500.000000            -0.913862            -0.414986            -0.031833
   2160076000.000000            -0.939711            -0.350257            -0.024840
   2205075500.000000            -0.961196            -0.283035            -0.017362
   2250075000.000000            -0.978222            -0.213745            -0.011299
   2295074500.000000            -0.990520            -0.142111            -0.005750
   2340074000.000000            -0.997449            -0.068251             0.001896
   2385073500.000000            -0.998889             0.007492             0.009413
   2430073000.000000            -0.994208             0.084323             0.019328
   2475072500.000000            -0.983364             0.161670             0.029883
   2520072000.000000            -0.966144             0.239304             0.040574
   2565071500.000000            -0.942121             0.317620             0.050342
   2610071000.000000            -0.910923             0.395509             0.060313
   2655070500.000000            -0.871589             0.473071             0.072420
   2700070000.000000            -0.823733             0.549801             0.084119
   2745069500.000000            -0.766682             0.624542             0.097256
   2790069000.000000            -0.699796             0.696361             0.111588
   2835068500.000000            -0.621982             0.764675             0.125172
   2880068000.000000            -0.531202             0.828225             0.140650
   2925067500.000000            -0.424776             0.885372             0.157798
   2970067000.000000            -0.297906             0.933130             0.179640
   3015066500.000000            -0.141340             0.965083             0.216542
   3060066000.000000             0.067654             0.960746             0.326346
   3105065500.000000             0.366624             0.806827             1.049183
   3150065000.000000             0.229690             0.307562             8.316447
   3195064500.000000             0.080876             0.528211             5.443217
   3240064000.000000             0.231030             0.492085             5.294096
   3285063500.000000             0.242287             0.323115             7.875304
   3330063000.000000             0.110311             0.249404            11.285973
   3375062500.000000             0.027487             0.323322             9.776016
   3420062000.000000             0.059399             0.405083             7.756737
   3465061500.000000             0.138874             0.426402             6.965785
   3510061000.000000             0.213297             0.398302             6.900722
   3555060500.000000             0.268789             0.344568             7.190242
   3600060000.000000             0.305073             0.277075             7.699606
   3645059500.000000             0.320414             0.198868             8.470602
   3690059000.000000             0.305206             0.118539             9.697958
   3735058500.000000             0.261618             0.055295            11.456859
   3780058000.000000             0.201786             0.021794            13.851814
   3825057500.000000             0.146658             0.024102            16.558130
   3870057000.000000             0.119324             0.047326            17.830955
   3915056500.000000             0.123460             0.065472            17.093208
   3960056000.000000             0.143519             0.060040            16.161398
   4005055500.000000             0.154984             0.028877            16.046060
   4050055000.000000             0.140108            -0.012597            17.035789
