*IDN? Returned 31 bytes: CMT, C1209, 00000001, 24.3.4/1


           Frequency                 Real                 Imag                 Loss
       100000.000000             1.000618            -0.001838            -0.014271
     45099500.000000             0.998544            -0.054147            -0.000260
     90099000.000000             0.994366            -0.106782            -0.001918
    135098500.000000             0.987580            -0.159154            -0.007412
    180098000.000000             0.977805            -0.211140            -0.007868
    225097500.000000             0.965435            -0.262347            -0.010257
    270097000.000000             0.950630            -0.312790            -0.017658
    315096500.000000             0.933103            -0.362114            -0.020807
    360096000.000000             0.913150            -0.410432            -0.026421
    405095500.000000             0.890563            -0.457643            -0.029193
    450095000.000000             0.865525            -0.503721            -0.032983
    495094500.000000             0.837851            -0.548943            -0.038303
    540094000.000000             0.807385            -0.593085            -0.041604
    585093500.000000             0.774340            -0.636038            -0.047636
    630093000.000000             0.738990            -0.677371            -0.056700
    675092500.000000             0.701417            -0.716684            -0.064552
    720092000.000000             0.661663            -0.753969            -0.071943
    765091500.000000             0.619638            -0.789276            -0.079247
    810091000.000000             0.575022            -0.822428            -0.080740
    855090500.000000             0.528369            -0.853404            -0.085711
    900090000.000000             0.479693            -0.881909            -0.090228
    945089500.000000             0.429348            -0.907771            -0.096160
    990089000.000000             0.377579            -0.930786            -0.102341
   1035088500.000000             0.324333            -0.950983            -0.109551
   1080088000.000000             0.269753            -0.968271            -0.118140
   1125087500.000000             0.214112            -0.982449            -0.126522
   1170087000.000000             0.157666            -0.993284            -0.131321
   1215086500.000000             0.100692            -1.000860            -0.135744
   1260086000.000000             0.043635            -1.005214            -0.141418
   1305085500.000000            -0.013918            -1.006326            -0.147402
   1350085000.000000            -0.072023            -1.003993            -0.150851
   1395084500.000000            -0.130630            -0.997975            -0.148914
   1440084000.000000            -0.189637            -0.988519            -0.150208
   1485083500.000000            -0.248766            -0.975472            -0.153592
   1530083000.000000            -0.306807            -0.958976            -0.157387
   1575082500.000000            -0.363900            -0.938943            -0.160475
   1620082000.000000            -0.419855            -0.915333            -0.161338
   1665081500.000000            -0.474920            -0.887866            -0.158417
   1710081000.000000            -0.528925            -0.856487            -0.152468
   1755080500.000000            -0.581738            -0.821357            -0.149230
   1800080000.000000            -0.632858            -0.782463            -0.145950
   1845079500.000000            -0.681731            -0.740157            -0.144033
   1890079000.000000            -0.727888            -0.694174            -0.133901
   1935078500.000000            -0.771308            -0.644817            -0.122591
   1980078000.000000            -0.811858            -0.592056            -0.110502
   2025077500.000000            -0.849484            -0.536056            -0.102919
   2070077000.000000            -0.883583            -0.477012            -0.094709
   2115076500.000000            -0.913858            -0.414957            -0.084032
   2160076000.000000            -0.939722            -0.350272            -0.066213
   2205075500.000000            -0.961230            -0.283092            -0.047154
   2250075000.000000            -0.978218            -0.213737            -0.029836
   2295074500.000000            -0.990514            -0.142085            -0.015022
   2340074000.000000            -0.997479            -0.068271            -5.863251
   2385073500.000000            -0.998864             0.007488            -5.844886
   2430073000.000000            -0.994166             0.084346            -5.821838
   2475072500.000000            -0.983391             0.161669            -5.798911
   2520072000.000000            -0.966081             0.239343            -5.772777
   2565071500.000000            -0.942226             0.317568            -5.753031
   2610071000.000000            -0.910970             0.395488            -5.729147
   2655070500.000000            -0.871642             0.473072            -5.701547
   2700070000.000000            -0.823674             0.549822            -5.672931
   2745069500.000000            -0.766720             0.624517            -5.643700
   2790069000.000000            -0.699820             0.696373            -5.610944
   2835068500.000000            -0.621998             0.764658            -5.579064
   2880068000.000000            -0.531160             0.828209            -5.542707
   2925067500.000000            -0.424768             0.885356            -5.503528
   2970067000.000000            -0.297915             0.933127            -5.453457
   3015066500.000000            -0.141297             0.965070            -5.367789
   3060066000.000000             0.067528             0.960819            -5.115152
   3105065500.000000             0.366644             0.806770            -3.414808
   3150065000.000000             0.229710             0.307584            15.094245
   3195064500.000000             0.080906             0.528198             7.571401
   3240064000.000000             0.230995             0.492091             7.185429
   3285063500.000000             0.242303             0.323111            13.932596
   3330063000.000000             0.110326             0.249421            22.950481
   3375062500.000000             0.027565             0.323320            18.953079
   3420062000.000000             0.059399             0.405062            13.621892
   3465061500.000000             0.138865             0.426421            11.541432
   3510061000.000000             0.213329             0.398314            11.370297
   3555060500.000000             0.268786             0.344565            12.131464
   3600060000.000000             0.305031             0.277070            13.472289
   3645059500.000000             0.320404             0.198880            15.502853
   3690059000.000000             0.305205             0.118544            18.746791
   3735058500.000000             0.261631             0.055308            23.403818
   3780058000.000000             0.201794             0.021795            29.752161
   3825057500.000000             0.146635             0.024097            36.931138
   3870057000.000000             0.119293             0.047322            40.307132
   3915056500.000000             0.123466             0.065464            38.345686
   3960056000.000000             0.143499             0.060034            35.878778
   4005055500.000000             0.154997             0.028886            35.567918
   4050055000.000000             0.140116            -0.012592            38.192394
   4095054500.000000             0.097215            -0.042074            44.725288
   4140054000.000000             0.041826            -0.040204            51.779919
   4185053500.000000             0.001226            -0.004438           102.637826
   4230053000.000000            -0.003958             0.046483            56.694935
   4275052500.000000             0.027152             0.084890            42.518398
   4320052000.000000             0.076798             0.088555            42.393828
   4365051500.000000             0.114983             0.054221            40.525271
   4410051000.000000             0.118039             0.001254            42.231758
   4455050500.000000             0.080468            -0.039423            42.407789
   4500050000.000000             0.023098            -0.039414            57.171642
   4545049500.000000            -0.014394             0.006594            81.509774
   4590049000.000000             0.001723             0.071656            47.127388
   4635048500.000000             0.074408             0.109168            39.638945
   4680048000.000000             0.168501             0.082463            31.565301
   4725047500.000000             0.232222            -0.010249            26.629684
   4770047000.000000             0.225469            -0.134172            23.841989
   4815046500.000000             0.143293            -0.232236            22.937528
   4860046000.000000             0.023932            -0.255935            24.313425
   4905045500.000000            -0.064557            -0.198148            29.144136
   4950045000.000000            -0.064547            -0.110141            40.428545
   4995044500.000000             0.025772            -0.082897            43.062488
   5040044000.000000             0.115547            -0.186931            27.922042
   5085043500.000000             0.078931            -0.376305            15.058451
   5130043000.000000            -0.116123            -0.514229             7.876079
   5175042500.000000            -0.377241            -0.491326             4.271562
   5220042000.000000            -0.579347            -0.319058             2.827482
   5265041500.000000            -0.650162            -0.046171             3.148307
   5310041000.000000            -0.513286             0.235377             6.332534
   5355040500.000000            -0.130339             0.321577            17.413140
   5400040000.000000             0.148988            -0.110926            31.793437
   5445039500.000000            -0.257351            -0.494529             6.619880
   5490039000.000000            -0.670910            -0.301108             0.522145
   5535038500.000000            -0.713734             0.093272             0.984216
   5580038000.000000            -0.107386             0.037980            43.054030
   5625037500.000000            -0.880861            -0.272991            -4.232666
   5670037000.000000            -0.977135             0.150170            -5.638200
   5715036500.000000            -0.912303             0.390811            -5.716498
   5760036000.000000            -0.821495             0.552600            -5.667602
   5805035500.000000            -0.723894             0.670811            -5.604017
   5850035000.000000            -0.624845             0.759739            -5.538284
   5895034500.000000            -0.526883             0.827220            -5.478707
   5940034000.000000            -0.430746             0.877976            -5.421039
   5985033500.000000            -0.336809             0.915420            -5.368954
   6030033000.000000            -0.245815             0.941592            -5.322249
   6075032500.000000            -0.157933             0.958146            -5.279328
   6120032000.000000            -0.073608             0.966355            -5.239509
   6165031500.000000             0.008382             0.967625            -5.208478
   6210031000.000000             0.085972             0.962178            -5.174112
   6255030500.000000             0.160802             0.951057            -5.143709
   6300030000.000000             0.232655             0.934868            -5.119203
   6345029500.000000             0.301710             0.913995            -5.100824
   6390029000.000000             0.367864             0.888966            -5.091769
   6435028500.000000             0.427899             0.860829            -5.075842
   6480028000.000000             0.485389             0.829074            -5.063198
   6525027500.000000             0.539609             0.794213            -5.052101
   6570027000.000000             0.590740             0.756500            -5.044597
   6615026500.000000             0.638781             0.716081            -5.039635
   6660026000.000000             0.683665             0.673126            -5.036164
   6705025500.000000             0.725324             0.628042            -5.036546
   6750025000.000000             0.763322             0.581348            -5.037582
   6795024500.000000             0.797724             0.533615            -5.042873
   6840024000.000000             0.828562             0.485050            -5.050320
   6885023500.000000             0.856123             0.435503            -5.059291
   6930023000.000000             0.880643             0.385354            -5.074809
   6975022500.000000             0.901921             0.334321            -5.087928
   7020022000.000000             0.920211             0.282165            -5.100704
