*IDN? Returned 31 bytes: CMT, C1209, 00000001, 24.3.4/1


           Frequency                 Real                 Imag                 Loss
       100000.000000             1.000589            -0.001878            -3.017105
     45099500.000000             0.998566            -0.054113            -3.015494
     90099000.000000             0.994387            -0.106797            -3.015709
    135098500.000000             0.987547            -0.159188            -3.016253
    180098000.000000             0.977843            -0.211133            -3.016489
    225097500.000000             0.965404            -0.262361            -3.016609
    270097000.000000             0.950649            -0.312776            -3.017649
    315096500.000000             0.933118            -0.362126            -3.018056
    360096000.000000             0.913171            -0.410444            -3.018776
    405095500.000000             0.890579            -0.457627            -3.019074
    450095000.000000             0.865529            -0.503718            -3.019533
    495094500.000000             0.837870            -0.548935            -3.020226
    540094000.000000             0.807395            -0.593076            -3.020615
    585093500.000000             0.774326            -0.636046            -3.021347
    630093000.000000             0.739013            -0.677370            -3.022546
    675092500.000000             0.701409            -0.716691            -3.023481
    720092000.000000             0.661697            -0.753975            -3.024488
    765091500.000000             0.619668            -0.789281            -3.025393
    810091000.000000             0.575068            -0.822450            -3.025645
    855090500.000000             0.528361            -0.853422            -3.026171
    900090000.000000             0.479692            -0.881884            -3.026646
    945089500.000000             0.429295            -0.907783            -3.027422
    990089000.000000             0.377534            -0.930818            -3.028268
   1035088500.000000             0.324347            -0.950980            -3.029144
   1080088000.000000             0.269750            -0.968269            -3.030215
   1125087500.000000             0.214064            -0.982416            -3.031154
   1170087000.000000             0.157631            -0.993306            -3.031929
   1215086500.000000             0.100744            -1.000892            -3.032546
   1260086000.000000             0.043667            -1.005223            -3.033185
   1305085500.000000            -0.013967            -1.006305            -3.033854
   1350085000.000000            -0.071967            -1.003993            -3.034336
   1395084500.000000            -0.130634            -0.997959            -3.034057
   1440084000.000000            -0.189665            -0.988484            -3.034180
   1485083500.000000            -0.248711            -0.975564            -3.034910
   1530083000.000000            -0.306804            -0.958963            -3.035137
   1575082500.000000            -0.363892            -0.938956            -3.035590
   1620082000.000000            -0.419885            -0.915300            -3.035623
   1665081500.000000            -0.474939            -0.887908            -3.035435
   1710081000.000000            -0.528942            -0.856521            -3.034660
   1755080500.000000            -0.581716            -0.821395            -3.034195
